"ID","u","s","m","l","luminance","chromatic_contrast","achromatic_contrast","vismodel","iluminante","substrato","saturation","mean_brightness","hue","H4","body_region","claw_type","carapace_type","identidade","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","data","size"
"X023_ll_br_c_brac_claro",0.0351330412355828,0.0799738471139053,0.104813145099338,0.120496413062765,0.106178277525345,1.70297343728364,2.6868411,"Peafowl","D65","substrato_barradorio",1.73513571644882,8.31602360772836,649,1.10466156035011,"Carapace","Brachychelous","Bright","ll_23","Bright","yes",13,NA,"by_time",4.34,0.46,0.05,4.34,31.4,"14iv2022",8.39
"X023_ll_br_q_brac_claro",0.167882269546896,0.306773278988932,0.31210156601643,0.265441617389159,0.296591124779633,3.92700988769121,8.9125075,"Peafowl","D65","substrato_barradorio",1.05681103870795,32.0864705316912,343,-2.98757729374004,"Claw","Brachychelous","Bright","ll_23","Bright","yes",13,NA,"by_time",4.34,0.46,0.05,4.34,31.4,"14iv2022",13.18
"X024_ll_br_c_brac_escuro",0.0245488588233749,0.0540846285666034,0.0706390882491663,0.090938817129749,0.0747749485229789,1.97456578630145,0.5617706,"Peafowl","D65","substrato_barradorio",1.85594660198263,5.99074525706162,648,1.01218688529274,"Carapace","Brachychelous","Dark","ll_24","Dark","yes",2,NA,"by_time",0.88,0.83,0.61,0.88,34.3,"14iv2022",8.68
"X024_ll_br_q_brac_escuro",0.0363572694598237,0.105179424981603,0.168026883207887,0.168200336693429,0.160439486829907,4.17100296583295,5.1886429,"Peafowl","D65","substrato_barradorio",2.26249795969064,15.6502296373564,327,-0.394923362895559,"Claw","Brachychelous","Dark","ll_24","Dark","yes",2,NA,"by_time",0.88,0.83,0.61,0.88,34.3,"14iv2022",15.9
"X025_ll_br_c_brac_claro",0.0971270827406414,0.210052568781614,0.252058233930012,0.273493317660779,0.252533452119996,1.12728525944165,7.9378967,"Peafowl","D65","substrato_barradorio",1.46984445904902,21.3371634096683,647,1.16463050637331,"Carapace","Brachychelous","Bright","ll_25","Bright","yes",21,NA,"by_time",0.15,0.07,0.04,0.15,24,"14iv2022",7.87
"X025_ll_br_q_brac_claro",0.129536722855006,0.268821821287324,0.315767402411161,0.263880326377744,0.292812767570285,2.96781737536065,8.8348038,"Peafowl","D65","substrato_barradorio",1.37195791832656,31.3521460187817,332,-1.93815697295957,"Claw","Brachychelous","Bright","ll_25","Bright","yes",21,NA,"by_time",0.15,0.07,0.04,0.15,24,"14iv2022",11.37
"X026_ll_br_c_lep_escuro",0.0626127421940054,0.18905653021177,0.239581633484972,0.246331559649184,0.233953962665504,3.23073546532129,7.474749,"Peafowl","D65","substrato_barradorio",1.61606703582684,17.2375155702301,635,1.14427165262884,"Carapace","Leptochelous","Dark","ll_26","Dark","yes",8,NA,"by_time",0.48,0.15,0.04,0.48,16.2,"14iv2022",7.28
"X026_ll_br_q_lep_escuro",0.0701933620092238,0.200097944756432,0.317606740050009,0.333898187665762,0.308180478598959,4.12598379058365,9.1448171,"Peafowl","D65","substrato_barradorio",1.38547509366006,25.7279683636652,578,0.733538711504074,"Claw","Leptochelous","Dark","ll_26","Dark","yes",8,NA,"by_time",0.48,0.15,0.04,0.48,16.2,"14iv2022",10.76
"X027_ll_br_c_brac_claro",0.0261778107672545,0.0570622824284382,0.069519903463056,0.0893815504328881,0.0741134627373388,1.48734658232754,0.5079178,"Peafowl","D65","substrato_barradorio",1.83166246983616,5.96621807178614,647,1.08651578875543,"Carapace","Brachychelous","Bright","ll_27","Bright","yes",53,NA,"by_time",2.87,4.6,0.05,4.6,27.8,"14iv2022",7.53
"X027_ll_br_q_brac_claro",0.0366483262073696,0.116566176010375,0.198163726709369,0.211104522311718,0.192333633370959,5.28294174221553,6.2875198,"Peafowl","D65","substrato_barradorio",2.2370019122652,18.9299866492769,318,-0.297166333026935,"Claw","Brachychelous","Bright","ll_27","Bright","yes",53,NA,"by_time",2.87,4.6,0.05,4.6,27.8,"14iv2022",13.09
