"identidade","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data","body_region","size"
"ll_49","Leptochelous","Dark","yes",59,NA,"by_time",0.41,0.16,0.12,0.41,0.0374,37.4,"15iv2022","Claw",15.51
"ll_50","Brachychelous","Bright","no",NA,NA,"by_time",0.06,0.35,0.1,0.35,0.0367,36.7,"15iv2022","Carapace",9.28
"ll_50","Brachychelous","Bright","no",NA,NA,"by_time",0.06,0.35,0.1,0.35,0.0367,36.7,"15iv2022","Claw",16.63
"ll_51","Leptochelous","Dark","no",NA,NA,"by_time",0.08,0.02,0.11,0.11,0.0218,21.8,"15iv2022","Carapace",8.45
"ll_51","Leptochelous","Dark","no",NA,NA,"by_time",0.08,0.02,0.11,0.11,0.0218,21.8,"15iv2022","Claw",13.36
"ll_52","Brachychelous","Bright","no",NA,NA,"by_time",0.36,2.3,0.03,2.3,0.0268,26.8,"15iv2022","Carapace",7.97
"ll_52","Brachychelous","Bright","no",NA,NA,"by_time",0.36,2.3,0.03,2.3,0.0268,26.8,"15iv2022","Claw",12.33
"ll_53","Brachychelous","Dark","no",NA,NA,"by_time",0.48,1.2,0.6,1.2,0.027,27,"15iv2022","Carapace",8.1
"ll_53","Brachychelous","Dark","no",NA,NA,"by_time",0.48,1.2,0.6,1.2,0.027,27,"15iv2022","Claw",12.61
"ll_54","Brachychelous","Bright","no",NA,NA,"by_time",0.11,2.73,0.08,2.73,0.0592,59.2,"15iv2022","Carapace",9.65
"ll_54","Brachychelous","Bright","no",NA,NA,"by_time",0.11,2.73,0.08,2.73,0.0592,59.2,"15iv2022","Claw",18.09
"ll_55","Brachychelous","Dark","no",NA,NA,"by_time",5.72,0.33,5.61,5.72,0.0404,40.4,"15iv2022","Carapace",8.98
"ll_55","Brachychelous","Dark","no",NA,NA,"by_time",5.72,0.33,5.61,5.72,0.0404,40.4,"15iv2022","Claw",14.99
"ll_56","Brachychelous","Bright","no",NA,NA,"by_time",0.02,0.008,0.01,0.02,0.0513,51.3,"15iv2022","Carapace",9.11
"ll_56","Brachychelous","Bright","no",NA,NA,"by_time",0.02,0.008,0.01,0.02,0.0513,51.3,"15iv2022","Claw",16.48
"ll_57","Brachychelous","Dark","no",NA,NA,"by_time",1.59,2.34,0.06,2.34,0.0333,33.3,"15iv2022","Carapace",9.15
"ll_57","Brachychelous","Dark","no",NA,NA,"by_time",1.59,2.34,0.06,2.34,0.0333,33.3,"15iv2022","Claw",12.05
"ll_58","Brachychelous","Bright","no",NA,NA,"by_time",4.54,0.51,0.43,4.54,0.0718,71.8,"17iv2022","Carapace",9.93
"ll_58","Brachychelous","Bright","no",NA,NA,"by_time",4.54,0.51,0.43,4.54,0.0718,71.8,"17iv2022","Claw",19.98
"ll_59","Brachychelous","Dark","no",NA,NA,"by_time",0.53,0.49,0.59,0.59,0.0618,61.8,"17iv2022","Carapace",9.51
"ll_59","Brachychelous","Dark","no",NA,NA,"by_time",0.53,0.49,0.59,0.59,0.0618,61.8,"17iv2022","Claw",18.25
"ll_60","Brachychelous","Bright","no",NA,NA,"by_time",1.31,0.45,0.08,1.31,0.0433,43.3,"17iv2022","Carapace",8.85
"ll_60","Brachychelous","Bright","no",NA,NA,"by_time",1.31,0.45,0.08,1.31,0.0433,43.3,"17iv2022","Claw",15.24
"ll_61","Brachychelous","Dark","no",NA,NA,"by_time",0.63,0.06,0.01,0.63,0.037,37,"17iv2022","Carapace",9.15
"ll_61","Brachychelous","Dark","no",NA,NA,"by_time",0.63,0.06,0.01,0.63,0.037,37,"17iv2022","Claw",19.23
"ll_62","Brachychelous","Bright","no",NA,NA,"by_time",1.53,0.3,0.83,1.53,0.0504,50.4,"17iv2022","Carapace",9.03
"ll_62","Brachychelous","Bright","no",NA,NA,"by_time",1.53,0.3,0.83,1.53,0.0504,50.4,"17iv2022","Claw",16.75
"ll_63","Brachychelous","Dark","no",NA,NA,"by_time",5.11,0.51,0.09,5.11,0.0549,54.9,"17iv2022","Carapace",9.4
"ll_63","Brachychelous","Dark","no",NA,NA,"by_time",5.11,0.51,0.09,5.11,0.0549,54.9,"17iv2022","Claw",19.53
"ll_64","Brachychelous","Bright","no",NA,NA,"by_time",0.004,0.07,0.02,0.07,0.0453,45.3,"17iv2022","Carapace",9
"ll_64","Brachychelous","Bright","no",NA,NA,"by_time",0.004,0.07,0.02,0.07,0.0453,45.3,"17iv2022","Claw",15.61
"ll_65","Brachychelous","Dark","no",NA,NA,"by_time",5.07,0.33,0.34,5.07,0.056,56,"17iv2022","Carapace",8.63
"ll_65","Brachychelous","Dark","no",NA,NA,"by_time",5.07,0.33,0.34,5.07,0.056,56,"17iv2022","Claw",16.99
"ll_66","Leptochelous","Bright","no",NA,NA,"by_time",0.68,0.11,0.03,0.68,0.0276,27.6,"17iv2022","Carapace",8.55
"ll_66","Leptochelous","Bright","no",NA,NA,"by_time",0.68,0.11,0.03,0.68,0.0276,27.6,"17iv2022","Claw",13.02
"ll_67","Brachychelous","Dark","no",NA,NA,"by_time",0.04,5.39,0.29,5.39,0.0557,55.7,"17iv2022","Carapace",9.95
"ll_67","Brachychelous","Dark","no",NA,NA,"by_time",0.04,5.39,0.29,5.39,0.0557,55.7,"17iv2022","Claw",19.13
"ll_68","Brachychelous","Bright","no",NA,NA,"by_time",5.02,0.59,0.01,5.02,0.0396,39.6,"17iv2022","Carapace",9.16
"ll_68","Brachychelous","Bright","no",NA,NA,"by_time",5.02,0.59,0.01,5.02,0.0396,39.6,"17iv2022","Claw",16.52
"ll_69","Brachychelous","Dark","no",NA,NA,"by_time",0.45,0.53,0.12,0.53,0.0298,29.8,"17iv2022","Carapace",8.61
"ll_69","Brachychelous","Dark","no",NA,NA,"by_time",0.45,0.53,0.12,0.53,0.0298,29.8,"17iv2022","Claw",15.82
"ll_70","Brachychelous","Bright","no",NA,NA,"by_time",2.64,0,0.04,2.64,0.0577,57.7,"17iv2022","Carapace",8.43
"ll_70","Brachychelous","Bright","no",NA,NA,"by_time",2.64,0,0.04,2.64,0.0577,57.7,"17iv2022","Claw",16.68
"ll_71","Brachychelous","Dark","no",NA,NA,"by_time",4.5,0.22,0.01,4.5,0.0527,52.7,"17iv2022","Carapace",9.08
"ll_71","Brachychelous","Dark","no",NA,NA,"by_time",4.5,0.22,0.01,4.5,0.0527,52.7,"17iv2022","Claw",18.14
"ll_72","Brachychelous","Bright","yes",0,NA,"by_time",0.41,0.23,0,0.41,0.0298,29.8,"17iv2022","Carapace",7.82
"ll_72","Brachychelous","Bright","yes",0,NA,"by_time",0.41,0.23,0,0.41,0.0298,29.8,"17iv2022","Claw",13.2
"ll_73","Brachychelous","Dark","no",NA,NA,"by_time",8.82,0.56,0.01,8.82,0.0494,49.4,"17iv2022","Carapace",9.33
"ll_73","Brachychelous","Dark","no",NA,NA,"by_time",8.82,0.56,0.01,8.82,0.0494,49.4,"17iv2022","Claw",16.41
"ll_74","Brachychelous","Bright","no",NA,NA,"by_time",1.98,0.22,0.07,1.98,0.0337,33.7,"17iv2022","Carapace",7.56
"ll_74","Brachychelous","Bright","no",NA,NA,"by_time",1.98,0.22,0.07,1.98,0.0337,33.7,"17iv2022","Claw",13.1
"ll_75","Brachychelous","Dark","no",NA,NA,"by_time",2.82,0.75,0.32,2.82,0.0479,47.9,"17iv2022","Carapace",8.9
"ll_75","Brachychelous","Dark","no",NA,NA,"by_time",2.82,0.75,0.32,2.82,0.0479,47.9,"17iv2022","Claw",16.36
"ll_76","Brachychelous","Bright","no",NA,NA,"by_time",0.06,0.01,0,0.06,0.0324,32.4,"17iv2022","Carapace",7.93
"ll_76","Brachychelous","Bright","no",NA,NA,"by_time",0.06,0.01,0,0.06,0.0324,32.4,"17iv2022","Claw",14.06
"ll_77","Brachychelous","Dark","no",NA,NA,"by_time",0.07,1.17,0.13,1.17,0.0257,25.7,"17iv2022","Carapace",8.54
"ll_77","Brachychelous","Dark","no",NA,NA,"by_time",0.07,1.17,0.13,1.17,0.0257,25.7,"17iv2022","Claw",12.82
"ll_78","Brachychelous","Bright","no",NA,NA,"by_time",0.2,0.25,0.08,0.25,0.0298,29.8,"17iv2022","Carapace",7.94
