"ID","claw_size","carapace_size","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data"
"ll_142",18.82,9.38,"brachy","b","no",NA,NA,"by_time",3.02,9.69,10.69,10.69,0.0667,66.7,"13vi2022"
"ll_143",17.2,9.39,"brachy","e","no",NA,NA,"by_time",8.63,1,0.04,8.63,0.0554,55.4,"13vi2022"
"ll_144",17.92,9.87,"brachy","b","no",NA,NA,"by_time",0.8,1,0.04,1,0.0614,61.4,"13vi2022"
"ll_145",20.61,10.15,"lepto","e","no",NA,NA,"by_time",0.05,0.04,0.06,0.06,0.0208,20.8,"13vi2022"
"ll_146",19.21,9.95,"brachy","b","no",NA,NA,"by_time",3.58,0.88,0.12,3.58,0.0717,71.7,"13vi2022"
"ll_147",15.44,9.83,"lepto","e","no",NA,NA,"by_time",2.22,0.42,0.07,2.22,0.0313,31.3,"13vi2022"
"ll_148",19.16,10.05,"brachy","b","no",NA,NA,"by_time",11.26,7.62,0.1,11.26,0.0736,73.6,"13vi2022"
"ll_149",21.79,10.65,"lepto","e","no",NA,NA,"by_time",0.29,0.18,0.05,0.29,0.0424,42.4,"13vi2022"
"ll_150",18.54,9.9,"lepto","b","no",NA,NA,"by_time",1.51,0.11,0.07,1.51,0.0494,49.4,"13vi2022"
"ll_151",18.84,9.87,"brachy","e","no",NA,NA,"by_time",5.23,0.75,8.63,8.63,0.061,61,"13vi2022"
"ll_152",18.3,9.33,"lepto","b","no",NA,NA,"by_time",0.87,0.14,4.2,4.2,0.0488,48.8,"13vi2022"
"ll_153",18.47,9.56,"brachy","e","no",NA,NA,"by_time",0.11,0.13,0.09,0.13,0.0187,18.7,"13vi2022"
"ll_154",17.33,9.8,"brachy","b","yes",28,NA,"by_time",8.88,8.77,9.04,9.04,0.0508,50.8,"13vi2022"
"ll_155",17.38,9.09,"brachy","e","no",NA,NA,"by_time",0.2,0.11,0.1,0.2,0.0251,25.1,"13vi2022"
"ll_156",23.05,10.5,"brachy","b","no",NA,NA,"by_time",1.6,0.45,0.21,1.6,0.0874,87.4,"14vi2022"
"ll_157",18.14,10.65,"brachy","e","no",NA,NA,"by_time",9.44,0.72,0.09,9.44,0.0651,65.1,"14vi2022"
"ll_158",22.37,10.16,"brachy","b","no",NA,NA,"by_time",2.1,0.57,0.19,2.1,0.0795,79.5,"14vi2022"
"ll_159",21.1,10.51,"brachy","e","no",NA,NA,"by_time",0.94,0.58,1,1,0.07,70,"14vi2022"
"ll_160",20.15,10.49,"brachy","b","no",NA,NA,"by_time",14.55,0.17,0.38,14.55,0.0681,68.1,"14vi2022"
"ll_161",18.5,10.06,"lepto","e","no",NA,NA,"by_time",1.1,0.33,0.03,1.1,0.0504,50.4,"14vi2022"
"ll_162",20.78,9.94,"brachy","b","yes",60,NA,"by_time",7.88,2.21,3.09,7.88,0.0718,71.8,"14vi2022"
"ll_163",19.58,10.36,"brachy","e","no",NA,NA,"by_time",7.52,1.51,0.22,7.52,0.0697,69.7,"14vi2022"
"ll_164",18.7,9.13,"brachy","b","no",NA,NA,"by_time",7.4,4.84,0.01,7.4,0.0651,65.1,"14vi2022"
"ll_165",18.44,9.58,"brachy","e","no",NA,NA,"by_time",7.58,0.54,0.54,7.58,0.0505,50.5,"14vi2022"
"ll_166",17.44,9.2,"brachy","b","no",NA,NA,"by_time",3.6,1.75,0.35,3.6,0.0572,57.2,"14vi2022"
"ll_167",20.86,10.46,"lepto","e","no",NA,NA,"by_time",0.6,0.45,0.46,0.6,0.0571,57.1,"14vi2022"
"ll_168",20.2,10.87,"lepto","b","no",NA,NA,"by_time",2.19,1.09,1.05,2.19,0.0571,57.1,"14vi2022"
"ll_169",20.32,10.06,"brachy","e","no",NA,NA,"by_time",7.53,1.65,0.19,7.53,0.0504,50.4,"14vi2022"
"ll_170",21.94,10.26,"lepto","b","no",NA,NA,"by_time",2.35,3.94,0.83,3.94,0.0617,61.7,"14vi2022"
"ll_171",19.76,10.36,"brachy","e","no",NA,NA,"by_time",4.57,0.36,0.32,4.57,0.0543,54.3,"14vi2022"
"ll_172",19.01,8.59,"brachy","b","no",NA,NA,"by_time",2.9,1.95,8.04,8.04,0.055,55,"14vi2022"
"ll_173",16.5,9.07,"brachy","e","no",NA,NA,"by_time",3.04,7.76,2.89,7.76,0.0387,38.7,"14vi2022"
"ll_174",20.04,10.68,"lepto","b","no",NA,NA,"by_time",2.22,0.41,0.21,2.22,0.0535,53.5,"15vi2022"
"ll_175",21.14,10.22,"brachy","e","no",NA,NA,"by_time",0.29,0.19,0.09,0.29,0.0602,60.2,"15vi2022"
"ll_176",20.72,10.32,"brachy","b","no",NA,NA,"by_time",3.27,7.47,0.78,7.47,0.0681,68.1,"15vi2022"
"ll_177",19.07,9.92,"brachy","e","no",NA,NA,"by_time",7.15,0.18,0.06,7.15,0.0533,53.3,"15vi2022"
"ll_178",22.34,10.56,"lepto","b","no",NA,NA,"by_time",3.79,0.3,0.88,3.79,0.0543,54.3,"15vi2022"
"ll_179",18.07,9.29,"brachy","e","no",NA,NA,"by_time",0.49,0.93,0.46,0.93,0.0308,30.8,"15vi2022"
"ll_180",17.98,9.26,"brachy","b","no",NA,NA,"by_time",6.43,1.14,4.41,6.43,0.0558,55.8,"15vi2022"
"ll_181",17.92,9.31,"brachy","e","no",NA,NA,"by_time",3.41,0.66,0.35,3.41,0.0515,51.5,"15vi2022"
